Total Number of Unique Cuts: 30
Time To Create Cuts  9.320318698883057 seconds
----------------------------------------------------------
Solve auxMIP
----------------------------------------------------------
Run Time  0.7863385677337646 seconds
Number of B&B nodes:  0
Objective Value Final LB:  96.4734
Objective Value Final UB:  96.4734
Number of Trips by Vessel  v1 :  4.0
Number of Trips by Vessel  v2 :  0.0
----------------------------------------------------------
Decision Variables: 
SigmaVv1  =  96.4734
AggYv1,F00,BID  =  1.0
AggYv1,F00,HDA  =  1.0
AggYv1,F00,TBC  =  1.0
AggYv1,F00,TRW  =  1.0
AggYv1,BID,F00  =  3.0
AggYv1,HDA,BID  =  1.0
AggYv1,TBC,F00  =  1.0
AggYv1,TRW,BID  =  1.0
AggXv1,F00,BID  =  1000.9999999999997
AggXv1,F00,HDA  =  1100.0000000000005
AggXv1,F00,TBC  =  834.0
AggXv1,F00,TRW  =  1100.0
AggXv1,HDA,BID  =  473.00000000000045
AggXv1,TRW,BID  =  364.9999999999999
AggZv1,BID  =  1839.0
AggZv1,HDA  =  627.0
AggZv1,TBC  =  834.0
AggZv1,TRW  =  735.0
----------------------------------------------------------
Solve MIP_Model_1
----------------------------------------------------------
Run Time  22.844855308532715 seconds
Number of B&B nodes:  0
Objective Value Final LB:  2.0
Objective Value Final UB:  2.0
Number of Vessels  v1  Used in the Solution:  1
Number of Vessels  v2  Used in the Solution:  1
Number of Trips by Vessel  v1 :  4.0
Number of Trips by Vessel  v2 :  2.0
----------------------------------------------------------
Decision variables: 
Yv1,F00(14.0),F00(34.0)  =  1.0
Yv1,F00(60.0),F00(66.0)  =  1.0
Yv1,F00(108.0),F00(114.0)  =  1.0
Yv1,F00(152.0),F00(158.0)  =  1.0
Yv1,BID(6.0),BID(8.0)  =  1.0
Yv1,BID(78.0),BID(80.0)  =  1.0
Yv1,BID(128.0),BID(130.0)  =  1.0
Yv1,HDA(86.0),HDA(91.0)  =  1.0
Yv1,TBC(38.0),TBC(43.0)  =  1.0
Yv1,TBC(137.0),TBC(139.0)  =  1.0
Yv1,TRW(132.0),TRW(135.0)  =  1.0
Yv1,F00(34.0),TBC(38.0)  =  1.0
Yv1,F00(158.0),BID(164.0)  =  1.0
Yv1,F00(66.0),BID(78.0)  =  1.0
Yv1,F00(114.0),BID(126.0)  =  1.0
Yv1,BID(8.0),F00(14.0)  =  1.0
Yv1,BID(80.0),HDA(84.0)  =  1.0
Yv1,BID(130.0),TRW(132.0)  =  1.0
Yv1,HDA(91.0),F00(104.0)  =  1.0
Yv1,TBC(43.0),F00(56.0)  =  1.0
Yv1,TBC(139.0),F00(152.0)  =  1.0
Yv1,TRW(135.0),TBC(137.0)  =  1.0
Yv2,F00(35.0),F00(41.0)  =  1.0
Yv2,F00(104.0),F00(110.0)  =  1.0
Yv2,BID(55.0),BID(57.0)  =  1.0
Yv2,HDA(159.0),HDA(161.0)  =  1.0
Yv2,TBC(114.0),TBC(131.0)  =  1.0
Yv2,TRW(85.0),TRW(87.0)  =  1.0
Yv2,F00(41.0),BID(54.0)  =  1.0
Yv2,F00(110.0),TBC(114.0)  =  1.0
Yv2,BID(57.0),TRW(60.0)  =  1.0
Yv2,HDA(161.0),F00(8.0)  =  1.0
Yv2,TBC(131.0),HDA(154.0)  =  1.0
Yv2,TRW(87.0),F00(104.0)  =  1.0
yWv1,F00(56.0),F00(57.0)  =  1.0
yWv1,F00(57.0),F00(58.0)  =  1.0
yWv1,F00(58.0),F00(59.0)  =  1.0
