Total Number of Unique Cuts: 126
Time To Create Cuts  66.22924304008484 seconds
----------------------------------------------------------
Solve auxMIP
----------------------------------------------------------
Run Time  0.917975664138794 seconds
Number of B&B nodes:  2936
Objective Value Final LB:  196.32349211050365
Objective Value Final UB:  196.3363999999998
Number of Trips by Vessel  v1 :  7.0
Number of Trips by Vessel  v2 :  1.0
----------------------------------------------------------
Decision Variables: 
SigmaVv1  =  179.6563999999998
SigmaVv2  =  16.68
AggYv1,F00,BRA  =  2.0
AggYv1,F00,GRA  =  1.0
AggYv1,F00,HDA  =  1.0
AggYv1,F00,OSC  =  2.0
AggYv1,F00,WVE  =  1.0
AggYv1,BRA,F00  =  1.0
AggYv1,BRA,HDA  =  1.0
AggYv1,GRA,F00  =  2.0
AggYv1,HDA,F00  =  1.0
AggYv1,HDA,GRA  =  1.0
AggYv1,OSC,F00  =  1.000000000000032
AggYv1,OSC,WAL  =  0.999999999999968
AggYv1,WVE,F00  =  1.0
AggYv1,WAL,F00  =  0.999999999999968
AggYv2,F00,WVE  =  1.0
AggYv2,WVE,F00  =  1.0
AggXv1,F00,BRA  =  2200.0
AggXv1,F00,GRA  =  1050.0000000000236
AggXv1,F00,HDA  =  1100.0
AggXv1,F00,OSC  =  2120.9999999999764
AggXv1,F00,WVE  =  650.0
AggXv1,BRA,HDA  =  436.0
AggXv1,HDA,GRA  =  908.9999999999765
AggXv1,OSC,WAL  =  734.9999999999765
AggXv2,F00,WVE  =  700.0
AggZv1,BRA  =  1764.0
AggZv1,GRA  =  1959.0
AggZv1,HDA  =  627.0
AggZv1,OSC  =  1386.0
AggZv1,WVE  =  650.0
AggZv1,WAL  =  735.0
AggZv2,WVE  =  700.0
----------------------------------------------------------
Solve MIP_Model_1
----------------------------------------------------------
Run Time  741.1150250434875 seconds
Number of B&B nodes:  0
Objective Value Final LB:  2.0
Objective Value Final UB:  2.0
Number of Vessels  v1  Used in the Solution:  2
Number of Vessels  v2  Used in the Solution:  0
Number of Trips by Vessel  v1 :  9.0
Number of Trips by Vessel  v2 :  0.0
----------------------------------------------------------
Decision variables: 
Yv1,F00(32.0),F00(38.0)  =  2.0
Yv1,F00(80.0),F00(86.0)  =  1.0
Yv1,F00(83.0),F00(89.0)  =  1.0
Yv1,F00(107.0),F00(113.0)  =  1.0
Yv1,F00(128.0),F00(134.0)  =  1.0
Yv1,F00(156.0),F00(162.0)  =  1.0
Yv1,F00(157.0),F00(9.0)  =  1.0
Yv1,BRA(14.0),BRA(16.0)  =  1.0
Yv1,BRA(43.0),BRA(55.0)  =  1.0
Yv1,BRA(55.0),BRA(57.0)  =  1.0
Yv1,BRA(139.0),BRA(152.0)  =  1.0
Yv1,GRA(6.0),GRA(8.0)  =  1.0
Yv1,GRA(8.0),GRA(10.0)  =  1.0
Yv1,GRA(10.0),GRA(12.0)  =  1.0
Yv1,GRA(12.0),GRA(15.0)  =  1.0
Yv1,GRA(132.0),GRA(135.0)  =  1.0
Yv1,GRA(135.0),GRA(138.0)  =  1.0
Yv1,GRA(138.0),GRA(140.0)  =  1.0
Yv1,HDA(17.0),HDA(19.0)  =  1.0
Yv1,HDA(58.0),HDA(61.0)  =  1.0
Yv1,HDA(61.0),HDA(63.0)  =  1.0
Yv1,HDA(63.0),HDA(66.0)  =  1.0
Yv1,OSC(66.0),OSC(68.0)  =  1.0
Yv1,OSC(104.0),OSC(106.0)  =  1.0
Yv1,OSC(106.0),OSC(108.0)  =  1.0
Yv1,WVE(18.0),WVE(20.0)  =  1.0
Yv1,WVE(91.0),WVE(103.0)  =  1.0
Yv1,WVE(150.0),WVE(152.0)  =  1.0
Yv1,WAL(60.0),WAL(63.0)  =  1.0
Yv1,F00(9.0),BRA(14.0)  =  1.0
Yv1,F00(38.0),BRA(43.0)  =  1.0
