Total Number of Unique Cuts: 14
Time To Create Cuts  3.9101057052612305 seconds
----------------------------------------------------------
Solve auxMIP
----------------------------------------------------------
Run Time  0.8029272556304932 seconds
Number of B&B nodes:  0
Objective Value Final LB:  114.0014
Objective Value Final UB:  114.0014
Number of Trips by Vessel  v1 :  4.0
Number of Trips by Vessel  v2 :  0.0
----------------------------------------------------------
Decision Variables: 
SigmaVv1  =  114.0014
AggYv1,F00,GRA  =  2.0
AggYv1,F00,HDA  =  1.0
AggYv1,F00,TRW  =  1.0
AggYv1,GRA,F00  =  2.0
AggYv1,HDA,F00  =  1.0
AggYv1,TRW,F00  =  1.0
AggXv1,F00,GRA  =  1959.0
AggXv1,F00,HDA  =  627.0
AggXv1,F00,TRW  =  735.0
AggZv1,GRA  =  1959.0
AggZv1,HDA  =  627.0
AggZv1,TRW  =  735.0
----------------------------------------------------------
Solve MIP_Model_1
----------------------------------------------------------
Run Time  1.1838653087615967 seconds
Number of B&B nodes:  0
Objective Value Final LB:  2.0
Objective Value Final UB:  2.0
Number of Vessels  v1  Used in the Solution:  1
Number of Vessels  v2  Used in the Solution:  1
Number of Trips by Vessel  v1 :  3.0
Number of Trips by Vessel  v2 :  2.0
----------------------------------------------------------
Decision variables: 
Yv1,F00(32.0),F00(38.0)  =  1.0
Yv1,F00(104.0),F00(110.0)  =  1.0
Yv1,F00(152.0),F00(158.0)  =  1.0
Yv1,GRA(13.0),GRA(17.0)  =  1.0
Yv1,GRA(56.0),GRA(59.0)  =  1.0
Yv1,HDA(65.0),HDA(67.0)  =  1.0
Yv1,TRW(133.0),TRW(136.0)  =  1.0
Yv1,F00(38.0),GRA(54.0)  =  1.0
Yv1,F00(110.0),TRW(132.0)  =  1.0
Yv1,F00(158.0),GRA(6.0)  =  1.0
Yv1,GRA(17.0),F00(32.0)  =  1.0
Yv1,GRA(59.0),HDA(61.0)  =  1.0
Yv1,HDA(67.0),F00(80.0)  =  1.0
Yv1,TRW(136.0),F00(152.0)  =  1.0
Yv2,F00(12.0),F00(18.0)  =  1.0
Yv2,F00(131.0),F00(137.0)  =  1.0
Yv2,GRA(39.0),GRA(41.0)  =  1.0
Yv2,GRA(155.0),GRA(157.0)  =  1.0
Yv2,HDA(58.0),HDA(62.0)  =  1.0
Yv2,HDA(160.0),HDA(162.0)  =  1.0
Yv2,F00(137.0),GRA(150.0)  =  1.0
Yv2,F00(18.0),GRA(31.0)  =  1.0
Yv2,GRA(41.0),HDA(58.0)  =  1.0
Yv2,GRA(157.0),HDA(160.0)  =  1.0
Yv2,HDA(62.0),F00(80.0)  =  1.0
Yv2,HDA(162.0),F00(8.0)  =  1.0
yWv1,F00(80.0),F00(81.0)  =  1.0
yWv1,F00(81.0),F00(82.0)  =  1.0
yWv1,F00(82.0),F00(83.0)  =  1.0
yWv1,F00(83.0),F00(84.0)  =  1.0
yWv1,F00(84.0),F00(85.0)  =  1.0
yWv1,F00(85.0),F00(86.0)  =  1.0
yWv1,F00(86.0),F00(87.0)  =  1.0
yWv1,F00(87.0),F00(88.0)  =  1.0
yWv1,F00(88.0),F00(89.0)  =  1.0
yWv1,F00(89.0),F00(90.0)  =  1.0
yWv1,F00(90.0),F00(104.0)  =  1.0
yWv1,GRA(6.0),GRA(7.0)  =  1.0
yWv1,GRA(7.0),GRA(8.0)  =  1.0
yWv1,GRA(8.0),GRA(9.0)  =  1.0
yWv1,GRA(9.0),GRA(10.0)  =  1.0
yWv1,GRA(10.0),GRA(11.0)  =  1.0
